depth,iterations,learning_rate,retrain_interval,metric,total_return,ann_return,ann_vol,sharpe,sortino,max_dd
3,300,0.05,,sortino,0.29158061894594134,0.13205005813812232,9.355462919594089,0.01411475405044432,0.019239446000185702,-14.313942949791855
3,300,0.05,,sharpe,0.2915806189456305,0.1320500581379891,9.35546291959411,0.014114754050430047,0.019239446000166215,-14.313942949791986
3,300,0.01,,sharpe,0.2915806189458303,0.1320500581380779,9.3554629195941,0.014114754050439557,0.01923944600017918,-14.313942949791997
3,300,0.01,,sortino,0.2915806189457637,0.1320500581380335,9.355462919594128,0.014114754050434768,0.019239446000172647,-14.313942949791922
3,300,0.05,60.0,sharpe,0.29158061894558607,0.13205005813796689,9.355462919594109,0.014114754050427678,0.019239446000163002,-14.313942949792025
3,300,0.05,60.0,sortino,0.2915806189457859,0.1320500581380557,9.3554629195941,0.014114754050437184,0.019239446000175957,-14.313942949791953
3,300,0.01,60.0,sortino,-0.006072030230441783,-0.002752116940774041,9.275183779106998,-0.0002967183191532417,-0.00040358769868197454,-14.567866428587475
3,300,0.01,60.0,sharpe,0.29158061894589693,0.1320500581381001,9.355462919594105,0.014114754050441923,0.019239446000182434,-14.31394294979188
3,600,0.01,,sharpe,0.2915806189458303,0.1320500581380779,9.3554629195941,0.014114754050439557,0.01923944600017918,-14.313942949791997
3,600,0.01,,sortino,0.2915806189457637,0.1320500581380335,9.355462919594128,0.014114754050434768,0.019239446000172647,-14.313942949791922
3,300,0.05,10.0,sortino,0.2908642111074222,0.13172587116601076,9.355490489221724,0.014080060400656656,0.01919210999348752,-14.313942949791954
3,300,0.05,10.0,sharpe,0.2915806189456305,0.1320500581379891,9.355462919594107,0.014114754050430053,0.01923944600016623,-14.313942949791988
3,300,0.05,20.0,sortino,0.2908642111074222,0.13172587116601076,9.355490489221724,0.014080060400656656,0.01919210999348752,-14.313942949791954
3,300,0.05,20.0,sharpe,0.2915806189456305,0.1320500581379891,9.355462919594107,0.014114754050430053,0.01923944600016623,-14.313942949791988
3,600,0.05,,sharpe,0.2915806189456305,0.1320500581379891,9.35546291959411,0.014114754050430047,0.019239446000166215,-14.313942949791986
3,600,0.05,,sortino,0.29158061894594134,0.13205005813812232,9.355462919594089,0.01411475405044432,0.019239446000185702,-14.313942949791855
3,600,0.01,60.0,sharpe,0.2915806189458303,0.1320500581380779,9.355462919594107,0.014114754050439547,0.019239446000179197,-14.313942949791898
