iter	RMSE
0	0.03826232453
1	0.03824256344
2	0.03822472354
3	0.03821345938
4	0.03819665242
5	0.03818002602
6	0.03816264735
7	0.03814643571
8	0.03812963121
9	0.03811334871
10	0.0381023613
11	0.0380915161
12	0.03807528995
13	0.03806440769
14	0.03804850904
15	0.0380313463
16	0.0380145462
17	0.03799859226
18	0.03798280686
19	0.0379656165
20	0.03794273791
21	0.037926887
22	0.03791055359
23	0.03789421791
24	0.03788319123
25	0.0378676713
26	0.03785217967
27	0.03783497373
28	0.03781416366
29	0.03779722121
30	0.03778118176
31	0.03776401188
32	0.03774129283
33	0.0377250795
34	0.03770977248
35	0.03769958203
36	0.03768278501
37	0.0376679669
38	0.03765314062
39	0.03763483995
40	0.03761969923
41	0.03760467526
42	0.03758890537
43	0.03757355065
44	0.0375634431
45	0.03754892291
46	0.03752850709
47	0.03751293849
48	0.037498022
49	0.03748083132
50	0.03746227975
51	0.03744714896
